,RMSE mean,RMSE standard deviation,Hyperparameters
29,0.047393331065436056,0.0010164770111255736,"{'objective': 'reg:squarederror', 'eval_metric': 'rmse', 'seed': 315, 'learning_rate': 0.0125, 'max_depth': 4, 'gamma': 0.01, 'subsample': 0.7}"
30,0.047391903104700345,0.000967704049732301,"{'objective': 'reg:squarederror', 'eval_metric': 'rmse', 'seed': 315, 'learning_rate': 0.0125, 'max_depth': 4, 'gamma': 0.04, 'subsample': 0.6}"
31,0.047145773853762986,0.0009983078480032533,"{'objective': 'reg:squarederror', 'eval_metric': 'rmse', 'seed': 315, 'learning_rate': 0.0125, 'max_depth': 4, 'gamma': 0.04, 'subsample': 0.5}"
32,0.04710979042886506,0.001023023665758828,"{'objective': 'reg:squarederror', 'eval_metric': 'rmse', 'seed': 315, 'learning_rate': 0.0125, 'max_depth': 4, 'gamma': 0.02, 'subsample': 0.6}"
33,0.04703527630224384,0.0009996768894241581,"{'objective': 'reg:squarederror', 'eval_metric': 'rmse', 'seed': 315, 'learning_rate': 0.0125, 'max_depth': 4, 'gamma': 0.01, 'subsample': 0.6}"
34,0.04677819735337547,0.0009602930641924613,"{'objective': 'reg:squarederror', 'eval_metric': 'rmse', 'seed': 315, 'learning_rate': 0.0125, 'max_depth': 4, 'gamma': 0.02, 'subsample': 0.5}"
35,0.04670551745688462,0.0009504666734515121,"{'objective': 'reg:squarederror', 'eval_metric': 'rmse', 'seed': 315, 'learning_rate': 0.0125, 'max_depth': 4, 'gamma': 0.01, 'subsample': 0.5}"
36,0.04398877576656092,0.0009713208047645561,"{'objective': 'reg:squarederror', 'eval_metric': 'rmse', 'seed': 315, 'learning_rate': 0.0125, 'max_depth': 5, 'gamma': 0.04, 'subsample': 0.7}"
37,0.04379765299284853,0.0008988186500929307,"{'objective': 'reg:squarederror', 'eval_metric': 'rmse', 'seed': 315, 'learning_rate': 0.0125, 'max_depth': 5, 'gamma': 0.04, 'subsample': 0.6}"
38,0.04355975960861426,0.0009300871335245923,"{'objective': 'reg:squarederror', 'eval_metric': 'rmse', 'seed': 315, 'learning_rate': 0.0125, 'max_depth': 5, 'gamma': 0.04, 'subsample': 0.5}"
