Model,RMSE,C-index,Stratified C-index
Naive: efs_time,1.4158214672700327,0.9492143036083986,0.9377779443915635
Naive: log_efs_time,31.687626371906383,0.9822356475859412,0.9778714917616648
Naive: reciprocal_efs_time,34.147660657403165,0.9900845610320793,0.9875590227863063
Naive: square_root_efs_time,29.6636910843742,0.9710573507197735,0.9636294438192664
Naive: polynomial_efs_time,2619.0304505244485,0.8716968119562468,0.8526075444911977
Naive: power_efs_time,67016.39484597914,0.5856087217336027,0.5797192817090543
Tuned: log_efs_time,0.36137325042577356,0.918145775400568,0.9056399652462461
